name,avg_return,avg_volatility,len,interval,period
DCM,0.0028,0.4052,791,1m,7d
DCMFINSERV,0.0606,1.6588,228,1m,7d
DCMNVL,-0.0045,0.356,1510,1m,7d
DCMSHRIRAM,0.0028,0.1491,2049,1m,7d
DCMSRIND,0.0011,0.1995,2129,1m,7d
DCW,0.002,0.2015,2612,1m,7d
DCXINDIA,0.0003,0.1421,2576,1m,7d
DECCANCE,-0.0022,0.2947,753,1m,7d
DEEPAKFERT,0.0019,0.1283,2611,1m,7d
DEEPAKNTR,0.0021,0.0964,2620,1m,7d
DEEPENR,-0.0011,0.3936,1026,1m,7d
DEEPINDS,-0.0009,0.1799,2162,1m,7d
DELHIVERY,0.0014,0.111,2616,1m,7d
DELPHIFX,0.0016,0.5669,898,1m,7d
DELTACORP,0.0,0.1083,2614,1m,7d
DELTAMAGNT,-0.0005,0.6028,767,1m,7d
DEN,-0.0006,0.1304,2536,1m,7d
DENORA,0.0004,0.249,1425,1m,7d
DEVIT,0.0065,0.4853,1277,1m,7d
DEVYANI,0.0022,0.1102,2620,1m,7d
DGCONTENT,-0.0278,1.0369,320,1m,7d
DHAMPURSUG,0.0014,0.1199,2408,1m,7d
DHANBANK,0.0014,0.2776,2580,1m,7d
DHANI,-0.0014,0.1952,2575,1m,7d
DHANUKA,0.0061,0.2064,2076,1m,7d
DHARMAJ,-0.0028,0.2089,1705,1m,7d
DHRUV,-0.1813,0.6978,42,1m,7d
DHUNINV,0.0087,0.566,555,1m,7d
DIACABS,0.312,0.7302,39,1m,7d
DIAMINESQ,0.0061,0.2811,1421,1m,7d
DIAMONDYD,-0.0005,0.1902,1408,1m,7d
DICIND,-0.0071,0.6392,377,1m,7d
DIGIDRIVE,-0.1656,0.9219,42,1m,7d
DIGISPICE,0.0011,0.4419,1373,1m,7d
DIGJAMLMTD,-0.0035,1.2764,161,1m,7d
DIL,-0.0015,0.4388,2339,1m,7d
DISHTV,-0.0002,0.2253,2616,1m,7d
DIVGIITTS,0.0019,0.2158,1926,1m,7d
DIVISLAB,0.0014,0.0834,2621,1m,7d
DIXON,-0.0002,0.1083,2622,1m,7d
DJML,0.0164,0.4689,1262,1m,7d
DLF,-0.0009,0.0884,2622,1m,7d
DLINKINDIA,0.0034,0.1627,1983,1m,7d
DMART,0.0026,0.1099,2621,1m,7d
DMCC,0.0086,0.3365,1163,1m,7d
DNAMEDIA,-0.1109,0.4231,42,1m,7d
DODLA,0.0026,0.1923,1904,1m,7d
DOLATALGO,0.0074,0.3031,2173,1m,7d
DOLLAR,0.0002,0.1903,1919,1m,7d
DOLPHIN,0.0161,0.8006,903,1m,7d
DOMS,0.0024,0.1562,2507,1m,7d
DONEAR,0.0042,0.2832,1272,1m,7d
DPABHUSHAN,0.0185,0.3343,1521,1m,7d
DPSCLTD,0.0005,0.2721,2448,1m,7d
DPWIRES,0.0053,0.2289,1977,1m,7d
DRCSYSTEMS,0.0017,0.5677,1808,1m,7d
DREAMFOLKS,0.0007,0.1218,2561,1m,7d
DREDGECORP,0.0061,0.5517,1308,1m,7d
DRREDDY,-0.0008,0.0662,2618,1m,7d
DSSL,-0.0032,0.2732,2121,1m,7d
DTIL,-0.0007,0.4041,688,1m,7d
DUCON,0.0026,0.547,944,1m,7d
DVL,-0.0018,0.3734,1249,1m,7d
DWARKESH,0.0017,0.1212,2587,1m,7d
DYCL,0.002,0.2348,1867,1m,7d
DYNAMATECH,0.0023,0.1823,2097,1m,7d
DYNPRO,0.0069,0.3315,1326,1m,7d
E2E,0.0056,0.8294,894,1m,7d
EASEMYTRIP,0.0001,0.1049,2621,1m,7d
ECLERX,0.0008,0.1237,2415,1m,7d
EDELWEISS,0.003,0.1751,2608,1m,7d
EDUCOMP,0.015,1.0069,376,1m,7d
EICHERMOT,0.0039,0.0932,2622,1m,7d
EIDPARRY,0.0025,0.1371,2552,1m,7d
EIFFL,-0.0011,0.5249,409,1m,7d
EIHAHOTELS,0.0001,0.272,1635,1m,7d
EIHOTEL,0.0006,0.1563,2620,1m,7d
EIMCOELECO,0.0085,0.6493,1101,1m,7d
EKC,-0.0015,0.166,2354,1m,7d
ELDEHSG,0.0202,0.5237,941,1m,7d
ELECON,-0.0,0.128,2560,1m,7d
ELECTCAST,0.002,0.1519,2616,1m,7d
ELECTHERM,0.3118,0.7298,39,1m,7d
ELGIEQUIP,0.0036,0.1603,2577,1m,7d
ELGIRUBCO,-0.0108,0.5984,815,1m,7d
ELIN,0.0003,0.1772,1765,1m,7d
EMAMILTD,0.0009,0.1015,2592,1m,7d
EMAMIPAP,-0.004,0.2478,1104,1m,7d
EMAMIREAL,0.0066,0.5038,1414,1m,7d
EMIL,-0.001,0.186,2449,1m,7d
EMKAY,0.0183,0.4385,1445,1m,7d
EMMBI,0.0078,0.3871,1070,1m,7d
EMSLIMITED,-0.0028,0.1732,2406,1m,7d
EMUDHRA,-0.0003,0.2284,2587,1m,7d
ENDURANCE,-0.0007,0.1153,2458,1m,7d
ENERGYDEV,-0.0023,0.513,1622,1m,7d
ENGINERSIN,0.0005,0.1266,2622,1m,7d
ENIL,-0.0026,0.2271,1352,1m,7d
ENTERO,0.0071,0.3381,2244,1m,7d
EPACK,0.0023,0.1735,2558,1m,7d
EPIGRAL,0.0001,0.1642,2510,1m,7d
EPL,-0.0007,0.1057,2493,1m,7d
EQUIPPP,0.0013,1.2847,273,1m,7d
EQUITASBNK,0.0018,0.13,2620,1m,7d
ERIS,0.0004,0.1003,2263,1m,7d
EROSMEDIA,-0.0013,0.2534,1671,1m,7d
ESABINDIA,-0.0038,0.1714,1287,1m,7d
